sr_no,HostTimestamp,NodeTimestamp,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y (dps),Z_dps,move_type
7,495471,81665.0,-93.0,-180.0,458.0,211.0,-123.0,63.0,31.9,-21.6,27.5,W
37,1205322,162453.0,46.0,-963.0,103.0,267.0,-217.0,-334.0,-4.9,-1.8,1.9,L
35,233848,37530.0,-407.0,-1069.0,224.0,211.0,-195.0,-372.0,-19.1,-34.1,9.5,S
66,397904,50692.0,96.0,-132.0,1023.0,-268.0,-463.0,-49.0,2.4,-9.0,-1.5,D
18,1166533,157603.0,-48.0,-999.0,161.0,237.0,-192.0,-310.0,2.2,-10.2,-0.3,L
103,348590,63303.0,-145.0,274.0,964.0,79.0,-60.0,-117.0,0.0,-0.2,1.6,W
17,1863603,244746.0,-82.0,-1044.0,-20.0,286.0,-204.0,-243.0,-7.0,9.3,9.8,U
22,210762,36747.0,-23.0,-125.0,1030.0,-247.0,-439.0,-99.0,7.7,-5.3,1.1,D
14,176159,30318.0,-304.0,-657.0,-39.0,280.0,-112.0,-208.0,-0.5,68.6,-25.4,S
28,376730,66821.0,-85.0,61.0,682.0,177.0,-133.0,0.0,80.6,0.2,-0.9,W
42,1733078,228428.0,1.0,-902.0,-277.0,342.0,-210.0,-100.0,3.7,0.9,5.8,U
101,2145421,279978.0,-1.0,-1016.0,28.0,265.0,-226.0,-315.0,-1.6,1.1,1.4,D
32,644695,85680.0,339.0,-184.0,934.0,3.0,-453.0,27.0,-2.3,-4.4,8.6,L
51,1997251,261453.0,71.0,-1014.0,13.0,276.0,-229.0,-300.0,-7.3,2.8,-3.5,D
11,432733,55048.0,-24.0,-140.0,970.0,-237.0,-450.0,-70.0,0.0,0.1,1.4,D
49,310420,39755.0,23.0,-228.0,981.0,-222.0,-450.0,-82.0,1.3,-0.5,1.9,D
27,330319,97855.0,112.0,-52.0,1003.0,-361.0,-432.0,-75.0,-0.8,2.7,0.1,R
25,2311049,300684.0,24.0,-995.0,132.0,243.0,-250.0,-357.0,-10.9,-2.6,-3.0,D
22,1809813,238021.0,-104.0,-999.0,-151.0,325.0,-199.0,-193.0,-28.8,11.4,-0.6,U
27,93780,20018.0,-717.0,-1132.0,672.0,127.0,-210.0,-445.0,-71.8,-5.3,14.2,S
32,986779,179923.0,-23.0,-97.0,1028.0,-256.0,-430.0,-114.0,2.8,-1.5,0.2,U
1,257458,40480.0,-176.0,-998.0,94.0,228.0,-142.0,-313.0,3.2,-8.6,-2.6,S
9,2140831,279403.0,-108.0,-1028.0,-111.0,327.0,-201.0,-241.0,5.9,1.3,4.2,D
10,2443227,317209.0,-63.0,-1001.0,-3.0,291.0,-190.0,-277.0,-6.7,-1.3,-3.0,D
14,1136683,153871.0,22.0,-1017.0,145.0,244.0,-220.0,-298.0,7.0,7.5,0.0,L
17,395445,50380.0,76.0,-232.0,962.0,-243.0,-459.0,-81.0,-3.9,2.3,4.5,D
31,468321,78271.0,-199.0,132.0,813.0,166.0,-117.0,15.0,92.5,-4.4,21.0,W
21,192882,25061.0,-3.0,-200.0,975.0,-217.0,-451.0,-93.0,-2.7,1.3,3.1,D
28,524154,70609.0,214.0,367.0,1122.0,-253.0,-474.0,-27.0,-8.1,14.6,87.4,L
35,656116,92422.0,17.0,-216.0,1011.0,-216.0,-465.0,-90.0,0.7,-3.0,2.1,D
56,1408231,181135.0,219.0,140.0,951.0,-586.0,-207.0,-43.0,8.1,5.7,-0.7,L
13,329599,97767.0,95.0,15.0,1023.0,-364.0,-421.0,-81.0,1.1,-10.5,3.0,R
15,519292,121480.0,59.0,-212.0,1005.0,-235.0,-439.0,-97.0,5.6,1.7,6.3,U
42,1905963,250040.0,-101.0,-935.0,-314.0,343.0,-181.0,-114.0,-1.3,6.0,5.0,U
41,2340899,304415.0,-22.0,-982.0,63.0,279.0,-232.0,-328.0,-0.2,7.3,13.6,D
29,309403,39630.0,17.0,-219.0,1008.0,-223.0,-463.0,-87.0,0.0,1.7,1.3,D
60,1782363,234590.0,-25.0,-959.0,-267.0,339.0,-211.0,-145.0,2.5,3.3,0.9,U
30,1758307,224897.0,199.0,-194.0,973.0,-324.0,-451.0,-63.0,-0.5,-0.9,4.0,R
36,303619,94517.0,103.0,-73.0,1025.0,-372.0,-429.0,-78.0,-0.9,6.4,6.0,R
58,351834,55753.0,-85.0,-1003.0,106.0,256.0,-225.0,-282.0,-0.9,3.3,-1.1,R
53,444563,67346.0,-108.0,-1001.0,64.0,246.0,-201.0,-298.0,6.7,7.9,7.9,R
39,269922,34692.0,92.0,-194.0,980.0,-228.0,-456.0,-82.0,-0.8,-1.6,4.2,D
31,1132611,198155.0,126.0,-147.0,1020.0,-268.0,-453.0,-72.0,3.0,0.0,1.2,U
54,466464,63396.0,159.0,13.0,1018.0,-87.0,-463.0,-81.0,-0.4,0.0,2.4,L
100,277737,43018.0,-70.0,-1003.0,-48.0,283.0,-187.0,-256.0,3.0,4.1,0.3,S
3,643256,85499.0,234.0,-38.0,993.0,-330.0,-466.0,-7.0,0.4,-0.2,4.2,L
2,1081910,191817.0,14.0,-127.0,912.0,-262.0,-433.0,-97.0,-2.1,7.8,-4.7,U
16,589885,78827.0,153.0,-240.0,1006.0,-31.0,-451.0,-45.0,1.5,-2.9,12.8,L
4,2198310,286590.0,15.0,-826.0,-70.0,342.0,-211.0,-237.0,12.8,-8.6,-7.4,D
20,559313,89646.0,94.0,-458.0,938.0,190.0,-166.0,12.0,-30.1,12.1,19.5,W
19,395533,50398.0,86.0,-226.0,990.0,-229.0,-457.0,-84.0,-5.2,0.9,5.3,D
23,644245,85624.0,358.0,-297.0,971.0,4.0,-444.0,22.0,-9.0,6.2,26.9,L
39,817820,114009.0,-8.0,-983.0,40.0,270.0,-324.0,-336.0,-1.9,5.1,2.1,L
19,850905,118146.0,-120.0,-974.0,17.0,277.0,-276.0,-304.0,-12.8,-2.1,5.7,L
3,311158,47193.0,-110.0,-934.0,27.0,238.0,-169.0,-301.0,11.5,4.6,4.1,S
34,530512,86046.0,-107.0,91.0,1117.0,126.0,-120.0,-43.0,8.5,-5.5,4.2,W
55,70408,20571.0,-98.0,-974.0,90.0,253.0,-192.0,-283.0,-2.6,3.6,-0.5,R
2,463853,63071.0,158.0,73.0,1051.0,-283.0,-456.0,-60.0,-2.8,1.0,5.1,L
28,496521,81796.0,-97.0,-83.0,669.0,178.0,-88.0,39.0,75.6,-14.9,4.3,W
18,19891,10780.0,77.0,-483.0,10.0,283.0,-118.0,-229.0,99.1,45.5,-21.0,S
12,2474548,321121.0,-119.0,-1061.0,140.0,274.0,-217.0,-333.0,15.7,-15.5,-14.7,D
46,2411008,313178.0,25.0,-991.0,83.0,258.0,-241.0,-361.0,-4.4,2.5,-7.1,D
21,2199181,286696.0,21.0,-1097.0,105.0,258.0,-231.0,-340.0,2.5,-0.1,-5.8,D
46,2242470,292109.0,32.0,-987.0,14.0,289.0,-259.0,-303.0,14.9,-3.4,-9.0,D
52,1916166,244635.0,131.0,-134.0,985.0,-333.0,-454.0,-61.0,-2.9,2.7,-2.5,R
22,525592,77478.0,-7.0,-1013.0,104.0,246.0,-204.0,-277.0,-5.5,-6.8,6.3,R
12,237685,41484.0,-32.0,-968.0,215.0,229.0,-214.0,-325.0,-11.0,-19.3,-22.1,R
31,1933982,253546.0,-153.0,-897.0,-380.0,340.0,-171.0,-87.0,-0.6,-1.4,3.3,U
33,1167282,157696.0,-160.0,-1008.0,6.0,273.0,-204.0,-300.0,-2.8,-0.9,-8.0,L
40,352437,52355.0,-273.0,-1020.0,348.0,183.0,-202.0,-402.0,-22.3,-17.5,16.1,S
17,219766,84036.0,7.0,-105.0,962.0,-367.0,-415.0,-91.0,-5.8,1.1,3.2,R
22,1507810,200265.0,-16.0,-993.0,-46.0,300.0,-226.0,-262.0,-25.8,6.5,3.4,U
7,215001,46600.0,-115.0,-61.0,1313.0,177.0,-142.0,-40.0,26.2,-11.8,-0.4,W
52,185837,79792.0,141.0,-49.0,1025.0,-439.0,-399.0,-54.0,0.0,1.6,3.4,R
7,467121,78121.0,42.0,-544.0,325.0,201.0,-201.0,60.0,-32.2,3.7,32.6,W
36,488902,72890.0,-69.0,-999.0,54.0,255.0,-202.0,-265.0,-2.1,0.7,0.9,R
52,153562,38918.0,-12.0,304.0,910.0,52.0,-99.0,-136.0,-7.9,-5.0,7.3,W
19,1757739,224828.0,198.0,-260.0,952.0,-318.0,-453.0,-64.0,0.9,-1.4,-0.9,R
18,233009,37424.0,-296.0,-453.0,-197.0,306.0,-126.0,-108.0,3.4,79.1,-23.7,S
9,523194,70490.0,122.0,59.0,1003.0,-316.0,-451.0,-46.0,-1.2,0.0,2.9,L
43,1138122,154053.0,-20.0,-1007.0,145.0,256.0,-198.0,-315.0,0.4,-9.9,3.4,L
44,94620,20124.0,0.0,-984.0,302.0,205.0,-214.0,-384.0,0.8,4.4,-4.2,S
18,2339759,304271.0,-30.0,-978.0,8.0,292.0,-217.0,-292.0,-7.0,13.6,3.1,D
40,1715856,219585.0,311.0,-199.0,965.0,-348.0,-454.0,-33.0,5.3,0.4,2.2,R
29,1446401,192590.0,-75.0,-898.0,-340.0,322.0,-217.0,-118.0,-6.2,-1.6,4.2,U
12,556552,81346.0,-60.0,-988.0,108.0,256.0,-231.0,-330.0,-6.3,6.8,1.4,R
15,209309,34461.0,-555.0,-755.0,-41.0,267.0,-147.0,-288.0,-44.5,58.4,16.9,S
8,2512677,325890.0,-113.0,-997.0,44.0,274.0,-216.0,-354.0,15.8,-17.0,-38.0,D
4,2512498,325865.0,-120.0,-1061.0,58.0,279.0,-207.0,-316.0,31.5,-11.5,-25.5,D
15,613132,133211.0,-58.0,-70.0,1040.0,-312.0,-391.0,-145.0,2.3,2.0,7.7,U
70,218150,46993.0,-85.0,81.0,1002.0,145.0,-85.0,-66.0,0.0,2.5,2.2,W
6,545691,124780.0,186.0,-196.0,841.0,-228.0,-432.0,-124.0,20.4,3.4,-7.9,U
50,344804,44055.0,-53.0,-181.0,1006.0,-199.0,-448.0,-90.0,1.3,0.9,-1.0,D
34,986869,179936.0,-15.0,-88.0,1013.0,-271.0,-427.0,-117.0,3.5,-0.1,3.3,U
7,1136322,153828.0,70.0,-972.0,87.0,265.0,-235.0,-265.0,26.8,3.7,9.3,L
0,257398,40474.0,-122.0,-984.0,117.0,234.0,-139.0,-307.0,4.3,-4.1,-1.9,S
10,378897,55661.0,-373.0,-1222.0,219.0,213.0,-171.0,-375.0,-13.9,-26.7,25.6,S
4,605092,87415.0,-85.0,-977.0,153.0,262.0,-216.0,-307.0,-7.0,13.5,1.6,R
2,2269949,295546.0,-64.0,-908.0,-19.0,282.0,-219.0,-306.0,3.6,0.4,9.9,D
20,525503,77465.0,47.0,-1023.0,87.0,244.0,-210.0,-282.0,1.8,-8.8,-1.1,R
7,487701,117530.0,-29.0,-125.0,875.0,-276.0,-442.0,-94.0,-25.3,-3.9,-1.4,U
31,279557,91511.0,107.0,-52.0,997.0,-375.0,-427.0,-75.0,-3.9,-3.0,0.9,R
21,2310870,300659.0,22.0,-983.0,86.0,249.0,-240.0,-363.0,3.9,-0.2,-7.0,D
14,577220,128723.0,-86.0,-283.0,1007.0,-214.0,-393.0,-154.0,7.0,-5.6,9.6,U
29,1996142,261315.0,34.0,-1027.0,178.0,270.0,-252.0,-325.0,6.1,-1.4,-4.3,D
5,232348,37343.0,272.0,-924.0,45.0,261.0,-184.0,-298.0,31.1,-3.5,5.6,S
38,1632280,215828.0,-50.0,-929.0,-440.0,343.0,-208.0,-54.0,-6.0,3.9,3.5,U
43,793407,104272.0,105.0,-259.0,975.0,-58.0,-457.0,-60.0,0.0,1.4,-0.4,L
20,655395,92328.0,23.0,-220.0,982.0,-211.0,-448.0,-88.0,2.1,-0.8,1.9,D
48,21391,10968.0,-145.0,-974.0,165.0,232.0,-186.0,-352.0,0.2,-2.8,3.4,S
2,156222,29928.0,-74.0,-111.0,1162.0,-282.0,-430.0,-102.0,2.1,19.6,23.1,D
4,1310561,175609.0,160.0,-928.0,95.0,256.0,-198.0,-255.0,-36.1,24.9,15.4,L
20,1507690,200253.0,-4.0,-1001.0,10.0,297.0,-232.0,-273.0,-16.1,-1.6,-0.1,U
41,1781403,234471.0,10.0,-910.0,-198.0,328.0,-208.0,-163.0,-7.4,7.2,-4.5,U
11,1197222,161440.0,-30.0,-983.0,60.0,261.0,-255.0,-340.0,-3.9,0.6,-0.4,L
16,329748,97786.0,109.0,-52.0,1002.0,-360.0,-441.0,-73.0,0.3,-5.3,6.3,R
13,178436,34078.0,-41.0,-1016.0,119.0,259.0,-222.0,-313.0,-2.3,9.1,-2.3,R
3,558473,89540.0,-78.0,-417.0,924.0,192.0,-244.0,24.0,-14.9,11.9,40.8,W
27,1047470,187511.0,-14.0,-125.0,1011.0,-210.0,-429.0,-111.0,0.2,2.2,3.6,U
60,531833,86209.0,-53.0,20.0,1019.0,139.0,-126.0,-40.0,0.0,-1.1,2.4,W
16,487913,72765.0,2.0,-987.0,29.0,268.0,-217.0,-288.0,-1.1,17.2,1.8,R
46,861898,112835.0,189.0,-238.0,967.0,70.0,-418.0,-10.0,1.6,-1.2,2.5,L
14,1365330,175772.0,53.0,39.0,1011.0,-567.0,-184.0,-94.0,2.3,-5.8,6.9,L
39,443873,67259.0,-37.0,-1001.0,47.0,264.0,-235.0,-276.0,10.9,23.8,-9.5,R
9,626116,88672.0,35.0,-41.0,1004.0,-238.0,-448.0,-79.0,3.3,-5.2,2.1,D
29,312447,47355.0,175.0,-872.0,172.0,267.0,-123.0,-226.0,71.9,23.8,-16.5,S
97,119751,34693.0,-280.0,700.0,1591.0,42.0,-124.0,-159.0,32.6,-6.3,-6.4,W
126,121189,34875.0,-39.0,418.0,935.0,51.0,-127.0,-165.0,0.8,0.3,1.2,W
9,311458,47230.0,-172.0,-1177.0,141.0,217.0,-150.0,-340.0,-4.4,-36.8,15.6,S
17,640461,136630.0,-106.0,-128.0,1017.0,-328.0,-370.0,-147.0,-1.0,-2.0,0.4,U
21,1063003,144659.0,-99.0,-972.0,127.0,240.0,-264.0,-358.0,-2.3,-18.5,0.5,L
25,331348,49718.0,183.0,-890.0,113.0,270.0,-163.0,-273.0,64.4,30.0,-9.5,S
47,239425,41703.0,-77.0,-993.0,59.0,253.0,-238.0,-297.0,-1.3,-2.8,-0.3,R
46,2173320,283465.0,30.0,-991.0,99.0,267.0,-238.0,-337.0,-0.8,1.8,3.9,D
12,401697,58511.0,-288.0,-1027.0,158.0,247.0,-178.0,-334.0,-64.9,15.1,10.5,S
31,1782367,227903.0,244.0,-168.0,945.0,-373.0,-441.0,-42.0,-2.3,0.7,3.5,R
30,769130,107921.0,-61.0,-999.0,6.0,273.0,-204.0,-271.0,-9.3,3.0,-4.1,L
9,2240610,291878.0,-118.0,-996.0,-115.0,324.0,-190.0,-226.0,18.4,15.8,0.9,D
31,186412,43025.0,-237.0,-177.0,576.0,165.0,-102.0,-25.0,5.8,9.4,20.5,W
16,2171820,283278.0,-92.0,-967.0,-138.0,309.0,-199.0,-249.0,5.7,-3.0,-7.6,D
48,560724,89821.0,-115.0,137.0,996.0,114.0,-81.0,-67.0,0.9,-0.2,6.5,W
31,152447,75617.0,92.0,-57.0,1034.0,-391.0,-426.0,-75.0,0.2,0.6,2.9,R
7,343791,62703.0,-147.0,616.0,1037.0,150.0,-108.0,-63.0,75.9,-25.1,9.6,W
46,351253,55678.0,-92.0,-1007.0,105.0,249.0,-202.0,-270.0,-2.9,-1.2,3.5,R
3,522895,70452.0,128.0,59.0,1007.0,-316.0,-450.0,-52.0,0.1,-0.2,1.6,L
33,1472201,195815.0,-105.0,-911.0,-417.0,319.0,-219.0,-64.0,-3.2,-1.1,0.2,U
27,1732327,228334.0,34.0,-946.0,-304.0,343.0,-213.0,-100.0,3.0,0.4,1.7,U
29,402537,58618.0,180.0,-1013.0,345.0,231.0,-124.0,-282.0,62.3,-1.7,-10.5,S
19,402953,62146.0,596.0,-1029.0,63.0,285.0,-319.0,-271.0,-37.2,-12.4,-54.1,R
41,987232,179980.0,-27.0,-84.0,1026.0,-264.0,-433.0,-108.0,1.0,1.6,2.8,U
15,302568,94386.0,66.0,-145.0,975.0,-372.0,-418.0,-85.0,-6.0,4.6,3.7,R
14,860307,112635.0,65.0,-478.0,967.0,36.0,-426.0,6.0,0.6,10.5,59.5,L
4,20235,12928.0,52.0,-83.0,928.0,-255.0,-463.0,-72.0,8.6,-6.3,-8.1,U
49,452276,64836.0,-179.0,-963.0,388.0,160.0,-228.0,-445.0,-32.6,-9.3,-0.5,S
28,606292,87565.0,-59.0,-1010.0,187.0,234.0,-220.0,-306.0,-3.9,-8.4,-2.6,R
28,1732357,228340.0,-28.0,-954.0,-338.0,342.0,-214.0,-96.0,-1.6,6.5,2.4,U
123,121039,34856.0,-24.0,413.0,930.0,40.0,-139.0,-157.0,0.7,-1.6,3.2,W
44,2371138,308196.0,39.0,-976.0,184.0,232.0,-249.0,-379.0,-3.3,2.7,4.6,D
33,2084791,272396.0,-52.0,-1047.0,58.0,253.0,-255.0,-337.0,6.5,-0.9,-4.5,D
56,2411488,313240.0,16.0,-987.0,59.0,247.0,-246.0,-352.0,6.8,-0.4,0.9,D
3,1932602,253371.0,-111.0,-1264.0,105.0,265.0,-202.0,-277.0,-38.4,15.1,17.0,U
40,210569,34618.0,-179.0,-1025.0,197.0,222.0,-175.0,-345.0,-34.4,-4.6,-1.4,S
37,1467126,188497.0,-45.0,97.0,997.0,-553.0,-229.0,-82.0,-1.4,-0.3,1.3,L
36,654174,138342.0,43.0,-182.0,1097.0,-301.0,-420.0,-126.0,-11.6,7.9,-0.7,U
27,184577,79636.0,116.0,-111.0,952.0,-430.0,-402.0,-39.0,7.9,-0.1,-14.9,R
43,524904,70702.0,185.0,-21.0,998.0,-99.0,-468.0,-60.0,-3.3,0.4,1.7,L
62,187940,43218.0,-61.0,301.0,954.0,67.0,-102.0,-127.0,2.2,-3.1,3.3,W
20,2270849,295659.0,38.0,-994.0,196.0,223.0,-225.0,-382.0,43.2,5.2,8.4,D
58,109176,33368.0,-21.0,506.0,897.0,7.0,-93.0,-165.0,0.5,0.0,1.6,W
25,433455,55136.0,32.0,-103.0,1015.0,-231.0,-453.0,-73.0,0.0,-0.2,1.8,D
50,432746,62393.0,-190.0,-996.0,325.0,198.0,-232.0,-415.0,-39.4,2.1,1.4,S
50,1759296,225022.0,155.0,-207.0,973.0,-316.0,-442.0,-81.0,-1.3,1.1,1.1,R
19,402027,58555.0,-206.0,-723.0,-164.0,288.0,-118.0,-184.0,-12.1,56.7,-3.0,S
45,187100,43112.0,-92.0,304.0,962.0,73.0,-102.0,-130.0,6.5,0.2,2.3,W
19,1995631,261253.0,-14.0,-992.0,40.0,294.0,-226.0,-286.0,-6.0,4.8,-10.8,D
57,466615,63415.0,136.0,6.0,1014.0,-87.0,-463.0,-73.0,1.0,-1.6,2.8,L
42,403197,58699.0,-192.0,-970.0,395.0,136.0,-198.0,-435.0,-9.5,-27.3,3.2,S
36,100179,13473.0,0.0,-151.0,1033.0,-225.0,-439.0,-96.0,1.0,-0.8,2.1,D
42,2242260,292084.0,33.0,-1012.0,10.0,298.0,-256.0,-291.0,-14.0,7.2,6.7,D
44,23725,3917.0,-27.0,-121.0,1015.0,-234.0,-442.0,-108.0,0.4,0.4,2.3,D
40,2279700,296765.0,-104.0,-898.0,-154.0,300.0,-204.0,-264.0,7.7,-6.7,-10.9,D
46,352737,52393.0,-157.0,-871.0,144.0,225.0,-201.0,-366.0,-29.8,18.7,-7.6,S
24,178976,34146.0,-3.0,-996.0,75.0,261.0,-226.0,-286.0,-3.0,6.5,-1.4,R
2,1062043,144540.0,223.0,-974.0,76.0,259.0,-208.0,-270.0,25.8,13.0,-6.4,L
27,2241510,291990.0,-26.0,-936.0,-41.0,309.0,-217.0,-268.0,2.8,-11.2,0.6,D
1,307995,39455.0,185.0,-210.0,932.0,-255.0,-480.0,-39.0,-0.7,14.2,4.4,D
25,73859,17530.0,-515.0,-1169.0,442.0,177.0,-205.0,-405.0,-60.2,-29.6,-1.6,S
4,233322,30117.0,39.0,-227.0,1191.0,-216.0,-466.0,-63.0,34.7,-0.2,-3.9,D
43,403226,58705.0,-161.0,-963.0,411.0,142.0,-204.0,-427.0,-6.8,-24.6,-1.6,S
1,895168,116991.0,104.0,-65.0,1006.0,-313.0,-445.0,-75.0,-7.0,-2.7,9.5,L
6,1196982,161409.0,-6.0,-982.0,113.0,258.0,-246.0,-342.0,-1.2,0.7,0.4,L
67,1998031,261553.0,-38.0,-1006.0,-40.0,280.0,-223.0,-286.0,-2.1,3.0,1.8,D
44,1111040,195461.0,93.0,-63.0,994.0,-300.0,-454.0,-79.0,0.7,1.5,0.5,U
18,234011,30205.0,-14.0,-92.0,1009.0,-198.0,-448.0,-88.0,1.7,0.2,-1.8,D
89,656812,138673.0,89.0,-99.0,829.0,-294.0,-424.0,-109.0,29.8,-29.1,22.8,U
34,179485,34209.0,-58.0,-1002.0,45.0,255.0,-192.0,-280.0,-7.3,-1.5,2.1,R
54,2411398,313228.0,78.0,-999.0,104.0,261.0,-253.0,-357.0,0.3,0.1,-1.6,D
70,2143861,279784.0,-16.0,-1009.0,54.0,280.0,-220.0,-304.0,6.8,1.1,2.4,D
35,1323541,170547.0,115.0,58.0,1004.0,-574.0,-189.0,-132.0,3.0,0.4,5.0,L
5,467031,78109.0,-67.0,-370.0,759.0,187.0,-222.0,30.0,-65.8,8.0,38.7,W
33,157804,30122.0,-145.0,-65.0,987.0,-264.0,-409.0,-120.0,-1.5,-3.2,0.7,D
38,1083710,192042.0,37.0,-116.0,952.0,-265.0,-448.0,-93.0,0.7,1.9,6.6,U
42,817970,114028.0,3.0,-1002.0,127.0,276.0,-331.0,-333.0,1.1,7.6,-1.1,L
30,353518,54578.0,-39.0,5.0,1016.0,-286.0,-427.0,-87.0,2.5,0.2,2.3,D
6,350727,52143.0,-349.0,-1195.0,84.0,207.0,-172.0,-361.0,-21.8,-28.4,24.5,S
75,498894,82090.0,-127.0,46.0,1018.0,130.0,-60.0,-46.0,-0.2,-2.4,2.9,W
50,53010,14924.0,-58.0,-994.0,123.0,249.0,-220.0,-333.0,0.6,6.3,-7.2,S
71,470332,78521.0,-137.0,44.0,1001.0,123.0,-123.0,-52.0,-0.6,-1.3,1.1,W
72,559552,81721.0,-40.0,-993.0,57.0,252.0,-222.0,-279.0,1.8,-1.4,2.8,R
69,1595201,211190.0,-29.0,-961.0,-223.0,330.0,-208.0,-168.0,0.6,3.1,3.0,U
46,428242,73259.0,32.0,117.0,1007.0,130.0,-139.0,-78.0,-3.2,-1.8,2.5,W
69,1024753,139878.0,61.0,-989.0,-22.0,294.0,-294.0,-304.0,-2.1,0.9,-1.8,L
17,1904703,249884.0,-213.0,-1017.0,-105.0,298.0,-181.0,-244.0,-47.2,12.3,30.3,U
43,153046,75692.0,63.0,-63.0,1007.0,-378.0,-418.0,-76.0,-3.1,-0.9,3.5,R
42,489203,72928.0,-105.0,-1000.0,54.0,253.0,-198.0,-262.0,1.8,4.7,6.0,R
81,526795,70940.0,165.0,-12.0,1015.0,-115.0,-474.0,-61.0,-0.7,-0.9,2.3,L
6,268273,34486.0,148.0,-173.0,1012.0,-235.0,-477.0,-63.0,5.6,8.1,3.3,D
13,2512947,325921.0,-182.0,-1285.0,221.0,244.0,-256.0,-384.0,5.3,0.2,-8.6,D
24,401149,106711.0,128.0,-56.0,991.0,-408.0,-406.0,-66.0,1.6,3.2,3.0,R
5,1403111,187178.0,5.0,-1061.0,143.0,232.0,-250.0,-319.0,9.3,-2.5,-4.2,U
44,627856,88891.0,77.0,-97.0,1029.0,-219.0,-456.0,-75.0,-0.3,-2.7,2.3,D
78,526644,70921.0,150.0,-17.0,1017.0,-114.0,-465.0,-57.0,0.0,-1.8,0.4,L
29,530273,86015.0,-47.0,343.0,1497.0,133.0,-112.0,-42.0,50.5,-14.6,9.7,W
6,1757106,224747.0,156.0,-96.0,1027.0,-277.0,-465.0,-60.0,-18.6,-21.2,-40.0,R
107,120261,34756.0,-71.0,408.0,946.0,43.0,-123.0,-159.0,-2.0,-1.0,1.6,W
46,2445028,317434.0,26.0,-992.0,99.0,265.0,-264.0,-348.0,-3.2,-2.8,2.3,D
44,54134,63330.0,125.0,-54.0,1013.0,-376.0,-432.0,-72.0,-1.4,-0.2,2.6,R
39,401900,106805.0,141.0,-45.0,1013.0,-420.0,-400.0,-76.0,1.4,-0.4,1.0,R
18,488241,117598.0,91.0,-98.0,967.0,-276.0,-444.0,-99.0,7.5,2.4,8.3,U
30,379887,55786.0,159.0,-938.0,54.0,268.0,-118.0,-228.0,55.0,-12.8,0.7,S
51,403647,58755.0,-81.0,-867.0,277.0,202.0,-217.0,-394.0,-32.9,10.5,-6.6,S
25,215901,46712.0,-208.0,-142.0,1087.0,165.0,-82.0,-30.0,30.2,8.8,3.5,W
13,488001,117567.0,121.0,-124.0,839.0,-282.0,-448.0,-81.0,7.1,12.1,1.4,U
38,497033,81859.0,-89.0,40.0,943.0,130.0,-73.0,-49.0,12.9,-3.8,12.3,W
12,612982,133192.0,-72.0,-97.0,1084.0,-306.0,-394.0,-141.0,2.3,0.8,-0.2,U
44,769820,108009.0,-24.0,-990.0,19.0,282.0,-220.0,-280.0,-6.1,5.8,0.6,L
8,487492,72715.0,0.0,-999.0,129.0,267.0,-249.0,-307.0,-0.8,15.4,1.4,R
62,2143471,279734.0,14.0,-982.0,14.0,282.0,-225.0,-297.0,2.3,-2.1,2.1,D
52,80536,20466.0,-19.0,-74.0,849.0,-235.0,-403.0,-142.0,21.5,10.6,9.3,U
27,1204842,162390.0,-68.0,-980.0,191.0,259.0,-186.0,-288.0,7.7,-27.7,11.4,L
21,557002,81403.0,-101.0,-995.0,98.0,244.0,-214.0,-315.0,-5.9,5.8,7.7,R
102,277858,43030.0,-48.0,-1007.0,-26.0,280.0,-181.0,-255.0,0.7,4.4,0.2,S
56,70437,20578.0,-109.0,-984.0,121.0,249.0,-192.0,-277.0,-1.4,5.8,-0.7,R
9,1757256,224766.0,243.0,96.0,908.0,-312.0,-450.0,-61.0,-19.6,-13.2,-30.8,R
16,2240970,291921.0,-45.0,-1044.0,-15.0,312.0,-198.0,-261.0,1.6,-5.8,0.2,D
36,1715585,219560.0,308.0,-213.0,905.0,-355.0,-445.0,-43.0,-3.3,1.1,1.8,R
63,498294,82015.0,-104.0,31.0,994.0,132.0,-61.0,-49.0,-1.7,4.0,1.9,W
35,186589,43050.0,-33.0,363.0,939.0,117.0,-105.0,-75.0,76.0,-35.2,2.3,W
55,452576,64874.0,-43.0,-866.0,242.0,198.0,-226.0,-396.0,-12.9,11.0,-4.6,S
39,380337,55843.0,-238.0,-1060.0,293.0,147.0,-154.0,-396.0,-0.9,-48.3,40.6,S
11,349464,55459.0,-9.0,-973.0,29.0,262.0,-199.0,-286.0,-7.4,21.4,-2.2,R
15,1311131,175678.0,-35.0,-975.0,173.0,249.0,-229.0,-370.0,-1.8,-0.4,6.9,L
4,2111671,275759.0,-109.0,-974.0,-57.0,316.0,-172.0,-238.0,5.1,-19.2,10.7,D
17,400788,106667.0,134.0,-26.0,1018.0,-399.0,-408.0,-72.0,-3.5,1.7,2.1,R
24,451047,64680.0,-193.0,-647.0,-196.0,303.0,-136.0,-166.0,10.7,61.6,-6.0,S
35,1063693,144746.0,-4.0,-993.0,114.0,258.0,-271.0,-354.0,-3.9,-1.1,0.3,L
3,767780,107753.0,-103.0,-1010.0,9.0,277.0,-195.0,-249.0,13.7,9.6,11.2,L
53,1138633,154115.0,-56.0,-1011.0,73.0,262.0,-223.0,-327.0,1.4,-10.3,-3.2,L
