sr_no,HostTimestamp,NodeTimestamp,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y_dps,Z_dps,move_type
21,157182,30047.0,-167.0,-73.0,1007.0,-258.0,-406.0,-130.0,2.1,-3.7,-0.5,D
22,157211,30053.0,-165.0,-74.0,1009.0,-256.0,-414.0,-129.0,1.9,-4.2,0.0,D
23,157272,30060.0,-142.0,-78.0,975.0,-256.0,-408.0,-123.0,-2.5,-2.5,0.2,D
24,157332,30066.0,-154.0,-79.0,1014.0,-261.0,-414.0,-123.0,1.5,-1.6,0.3,D
25,157362,30072.0,-168.0,-77.0,990.0,-253.0,-405.0,-124.0,-0.7,-0.2,1.7,D
26,157422,30078.0,-198.0,-77.0,999.0,-255.0,-414.0,-124.0,1.3,-3.1,0.0,D
27,157482,30085.0,-188.0,-71.0,992.0,-256.0,-409.0,-124.0,-0.6,-1.5,-1.0,D
28,157511,30091.0,-148.0,-68.0,1003.0,-270.0,-415.0,-117.0,4.7,-7.1,-2.8,D
29,157571,30097.0,-144.0,-72.0,1013.0,-264.0,-412.0,-118.0,0.5,-3.8,-1.4,D
30,157632,30103.0,-140.0,-68.0,998.0,-267.0,-411.0,-123.0,3.2,-6.0,-0.9,D
31,157661,30110.0,-124.0,-60.0,1023.0,-271.0,-415.0,-123.0,4.1,-8.0,-1.4,D
32,157721,30116.0,-121.0,-59.0,1053.0,-264.0,-409.0,-120.0,-1.5,-3.2,0.7,D
33,157804,30122.0,-145.0,-65.0,987.0,-264.0,-409.0,-120.0,-1.5,-3.2,0.7,D
34,157811,30128.0,-140.0,-74.0,1011.0,-259.0,-420.0,-130.0,-2.8,-4.6,2.1,D
35,157871,30135.0,-120.0,-77.0,1006.0,-265.0,-423.0,-123.0,-3.2,-3.2,3.0,D
36,157931,30141.0,-124.0,-92.0,989.0,-267.0,-423.0,-121.0,-3.7,-3.2,1.7,D
37,157961,30147.0,-120.0,-92.0,999.0,-267.0,-417.0,-115.0,0.3,-2.1,1.4,D
38,158021,30153.0,-125.0,-88.0,1003.0,-267.0,-420.0,-109.0,-3.0,-1.7,1.6,D
39,158081,30160.0,-114.0,-78.0,983.0,-271.0,-426.0,-115.0,-3.0,-1.7,1.6,D
40,158111,30166.0,-123.0,-75.0,1039.0,-256.0,-429.0,-108.0,-0.4,-2.5,2.0,D
41,158171,30172.0,-125.0,-77.0,1002.0,-258.0,-417.0,-109.0,-3.5,0.7,3.0,D
42,158232,30178.0,-113.0,-86.0,983.0,-258.0,-415.0,-121.0,-0.5,-0.9,2.3,D
43,158261,30185.0,-117.0,-96.0,1015.0,-258.0,-421.0,-114.0,-0.6,0.9,2.8,D
44,158322,30191.0,-134.0,-99.0,996.0,-255.0,-429.0,-126.0,1.1,-1.2,1.4,D
45,158382,30197.0,-108.0,-87.0,1019.0,-261.0,-426.0,-117.0,-1.8,-1.1,1.4,D
46,158411,30203.0,-135.0,-94.0,1014.0,-264.0,-420.0,-117.0,0.0,-2.2,2.5,D
47,158471,30210.0,-129.0,-87.0,988.0,-249.0,-421.0,-118.0,0.4,-0.9,2.2,D
48,158532,30216.0,-112.0,-84.0,1017.0,-264.0,-424.0,-111.0,2.7,-4.2,1.4,D
49,158561,30222.0,-116.0,-87.0,1019.0,-247.0,-418.0,-117.0,3.4,-3.0,1.8,D
50,158622,30228.0,-98.0,-78.0,1027.0,-265.0,-432.0,-112.0,0.5,-4.7,2.9,D
51,158682,30235.0,-90.0,-74.0,1050.0,-256.0,-426.0,-108.0,-2.5,-3.2,4.5,D
52,158711,30241.0,-108.0,-88.0,1006.0,-258.0,-421.0,-106.0,-6.1,-3.7,6.0,D
53,158772,30247.0,-106.0,-83.0,1030.0,-261.0,-426.0,-105.0,-4.6,-5.3,6.9,D
54,158833,30253.0,-91.0,-90.0,1051.0,-249.0,-430.0,-115.0,-7.1,-4.9,7.4,D
55,158862,30260.0,-91.0,-77.0,1049.0,-250.0,-432.0,-117.0,-0.9,-3.6,8.4,D
56,158922,30266.0,23.0,-34.0,1030.0,-240.0,-432.0,-108.0,-1.2,-12.6,11.4,D
1,186223,33678.0,-156.0,114.0,1106.0,-309.0,-396.0,-148.0,-31.5,0.6,8.8,D
2,186251,33685.0,-234.0,20.0,937.0,-298.0,-387.0,-138.0,-35.1,-1.6,18.5,D
3,186312,33691.0,-270.0,-35.0,967.0,-283.0,-393.0,-150.0,-21.8,3.0,14.7,D
4,186372,33697.0,-301.0,-67.0,940.0,-283.0,-393.0,-150.0,-11.2,-18.6,5.1,D
5,186401,33703.0,-236.0,-70.0,841.0,-276.0,-394.0,-150.0,-4.6,-3.9,-0.1,D
6,186462,33710.0,-215.0,-48.0,934.0,-274.0,-393.0,-150.0,11.3,-11.7,-2.3,D
7,186523,33716.0,-222.0,-22.0,988.0,-292.0,-400.0,-145.0,18.2,-10.9,-4.4,D
8,186552,33722.0,-194.0,18.0,1039.0,-288.0,-405.0,-138.0,11.1,-7.3,-4.6,D
9,186612,33728.0,-169.0,37.0,1029.0,-291.0,-414.0,-132.0,9.2,-19.0,-3.2,D
10,186673,33735.0,-139.0,44.0,1008.0,-297.0,-406.0,-126.0,2.3,-5.6,-2.3,D
11,186702,33741.0,-129.0,33.0,991.0,-297.0,-405.0,-127.0,-0.7,0.2,0.4,D
12,186762,33747.0,-160.0,27.0,1039.0,-294.0,-408.0,-135.0,2.1,-6.0,1.6,D
13,186822,33753.0,-140.0,21.0,987.0,-295.0,-403.0,-123.0,-5.1,2.5,2.6,D
14,186852,33760.0,-180.0,16.0,986.0,-295.0,-405.0,-133.0,1.4,1.2,3.5,D
15,186912,33766.0,-152.0,20.0,1013.0,-300.0,-402.0,-127.0,0.7,1.8,2.0,D
16,186971,33772.0,-152.0,20.0,1013.0,-297.0,-411.0,-130.0,-0.3,2.3,2.4,D
17,187002,33778.0,-162.0,5.0,996.0,-292.0,-411.0,-130.0,1.9,1.8,2.5,D
18,187063,33785.0,-181.0,15.0,1016.0,-288.0,-412.0,-132.0,3.3,-2.0,1.3,D
19,187123,33791.0,-177.0,33.0,1010.0,-300.0,-409.0,-135.0,-0.2,0.4,1.2,D
20,187152,33797.0,-172.0,42.0,1002.0,-294.0,-402.0,-129.0,-0.8,1.4,2.3,D
21,187212,33803.0,-168.0,25.0,1006.0,-294.0,-403.0,-130.0,1.0,-0.2,2.3,D
22,187272,33810.0,-157.0,15.0,1009.0,-294.0,-415.0,-123.0,-1.1,0.7,2.2,D
23,187302,33816.0,-176.0,3.0,996.0,-301.0,-405.0,-127.0,0.7,0.2,2.2,D
24,187362,33822.0,-181.0,14.0,1009.0,-289.0,-405.0,-127.0,-0.2,0.2,1.2,D
25,187422,33828.0,-201.0,20.0,1014.0,-300.0,-414.0,-133.0,0.0,-0.7,-0.3,D
26,187451,33835.0,-198.0,26.0,1010.0,-301.0,-408.0,-135.0,-1.2,-2.0,0.1,D
27,187512,33841.0,-156.0,27.0,1015.0,-291.0,-397.0,-135.0,-1.3,-2.2,0.6,D
28,187572,33847.0,-166.0,13.0,1019.0,-297.0,-403.0,-126.0,-4.4,-2.3,2.2,D
29,187601,33853.0,-166.0,13.0,1019.0,-292.0,-397.0,-127.0,-3.1,-2.1,0.6,D
30,187662,33860.0,-153.0,6.0,978.0,-294.0,-409.0,-142.0,1.6,-1.8,0.9,D
31,187722,33866.0,-167.0,3.0,1016.0,-301.0,-403.0,-133.0,1.8,-3.5,1.1,D
32,187752,33872.0,-171.0,1.0,1016.0,-289.0,-408.0,-126.0,5.8,-5.2,-0.5,D
33,187812,33878.0,-156.0,13.0,1003.0,-292.0,-400.0,-127.0,7.9,-10.7,0.4,D
34,187903,33885.0,-156.0,13.0,1003.0,-292.0,-400.0,-127.0,6.7,-10.3,1.0,D
35,187903,33891.0,-156.0,13.0,1003.0,-292.0,-400.0,-127.0,9.6,-16.0,2.8,D
0,209663,36610.0,73.0,-141.0,1287.0,-247.0,-448.0,-94.0,16.7,14.7,-3.7,D
1,209713,36616.0,52.0,-153.0,1162.0,-246.0,-450.0,-99.0,3.2,18.1,-0.4,D
2,209772,36622.0,37.0,-132.0,1028.0,-244.0,-441.0,-103.0,-4.2,10.0,4.3,D
3,209802,36628.0,-7.0,-126.0,991.0,-247.0,-444.0,-102.0,-2.5,8.0,4.6,D
4,209863,36635.0,-5.0,-115.0,990.0,-249.0,-438.0,-106.0,-9.8,12.8,6.3,D
5,209922,36641.0,-31.0,-141.0,921.0,-249.0,-436.0,-112.0,-3.8,16.1,5.5,D
6,209952,36647.0,-68.0,-154.0,1057.0,-246.0,-430.0,-106.0,2.1,8.1,5.5,D
7,210013,36653.0,-45.0,-153.0,1047.0,-238.0,-424.0,-114.0,5.8,2.5,4.6,D
8,210073,36660.0,-34.0,-155.0,1056.0,-246.0,-442.0,-120.0,2.9,-4.0,5.1,D
9,210102,36666.0,-48.0,-161.0,984.0,-235.0,-436.0,-115.0,-3.0,1.4,6.0,D
10,210163,36672.0,-63.0,-168.0,970.0,-235.0,-436.0,-111.0,0.4,-2.7,2.7,D
11,210223,36678.0,-56.0,-159.0,990.0,-234.0,-436.0,-120.0,5.5,-1.6,0.6,D
12,210252,36685.0,-58.0,-147.0,1027.0,-237.0,-436.0,-111.0,3.9,-1.6,0.3,D
13,210312,36691.0,-48.0,-137.0,1007.0,-247.0,-435.0,-108.0,-0.2,-2.3,-0.5,D
14,210373,36697.0,-27.0,-134.0,992.0,-244.0,-438.0,-111.0,0.7,-4.2,0.3,D
15,210402,36703.0,-22.0,-129.0,992.0,-240.0,-435.0,-99.0,0.0,0.4,0.7,D
16,210463,36710.0,-31.0,-130.0,986.0,-252.0,-438.0,-106.0,1.8,1.6,1.6,D
17,210553,36716.0,-50.0,-135.0,991.0,-246.0,-427.0,-109.0,2.1,1.1,2.3,D
18,210553,36722.0,-50.0,-135.0,991.0,-246.0,-427.0,-109.0,0.3,2.6,2.3,D
19,210612,36728.0,-64.0,-141.0,994.0,-246.0,-427.0,-109.0,2.4,-0.9,1.8,D
20,210672,36735.0,-27.0,-134.0,998.0,-247.0,-432.0,-105.0,5.0,-3.1,0.9,D
21,210702,36741.0,-17.0,-134.0,996.0,-249.0,-436.0,-105.0,6.2,-7.8,1.6,D
22,210762,36747.0,-23.0,-125.0,1030.0,-247.0,-439.0,-99.0,7.7,-5.3,1.1,D
23,210823,36753.0,-30.0,-117.0,1009.0,-250.0,-439.0,-102.0,-1.1,1.4,1.8,D
24,210851,36760.0,-37.0,-122.0,1001.0,-253.0,-436.0,-94.0,1.3,-0.2,0.3,D
25,210913,36766.0,-36.0,-110.0,998.0,-240.0,-439.0,-102.0,4.4,-0.9,0.5,D
26,210972,36772.0,-27.0,-101.0,1038.0,-250.0,-445.0,-100.0,1.4,-2.4,1.2,D
27,211002,36778.0,-10.0,-100.0,1011.0,-253.0,-444.0,-99.0,-2.1,0.1,1.8,D
28,211063,36785.0,-17.0,-115.0,1003.0,-252.0,-438.0,-99.0,-0.8,-0.4,1.6,D
29,211123,36791.0,-21.0,-119.0,999.0,-246.0,-436.0,-106.0,0.4,-0.7,1.3,D
30,211151,36797.0,-32.0,-118.0,1009.0,-249.0,-438.0,-102.0,0.1,-0.1,0.5,D
31,211212,36803.0,-36.0,-122.0,998.0,-252.0,-447.0,-100.0,1.1,-1.1,-0.4,D
32,211271,36810.0,-15.0,-104.0,1026.0,-246.0,-441.0,-102.0,0.9,-1.4,-0.6,D
33,211301,36816.0,-15.0,-114.0,1009.0,-258.0,-441.0,-96.0,2.5,-3.5,-0.1,D
34,211361,36822.0,-25.0,-109.0,987.0,-261.0,-432.0,-96.0,1.7,-5.8,0.6,D
35,211422,36828.0,-1.0,-105.0,1013.0,-258.0,-439.0,-99.0,8.4,-10.5,0.0,D
36,211451,36835.0,-5.0,-112.0,1027.0,-253.0,-444.0,-97.0,-1.1,-1.9,1.6,D
37,211512,36841.0,-7.0,-118.0,977.0,-253.0,-444.0,-97.0,-0.9,-1.7,1.0,D
38,211572,36847.0,-13.0,-105.0,970.0,-261.0,-450.0,-93.0,9.2,-10.1,-0.2,D
39,211602,36853.0,38.0,-87.0,988.0,-255.0,-442.0,-87.0,20.1,-17.6,0.9,D
40,211663,36860.0,82.0,-48.0,1102.0,-270.0,-447.0,-79.0,14.4,-14.6,1.6,D
1,352004,54403.0,115.0,-25.0,1065.0,-280.0,-456.0,-66.0,-13.7,6.6,-3.5,D
2,352032,54410.0,49.0,-20.0,1269.0,-270.0,-450.0,-70.0,3.9,33.7,7.4,D
3,352094,54416.0,-144.0,-57.0,1103.0,-264.0,-453.0,-79.0,-6.3,36.6,4.9,D
4,352154,54422.0,-108.0,-22.0,1133.0,-271.0,-445.0,-78.0,12.8,24.3,-4.5,D
5,352183,54428.0,-3.0,-2.0,1149.0,-282.0,-444.0,-97.0,21.8,11.4,-8.7,D
6,352243,54435.0,-18.0,3.0,1119.0,-279.0,-441.0,-91.0,3.3,12.2,-5.0,D
7,352305,54441.0,-38.0,7.0,1070.0,-279.0,-435.0,-94.0,-2.1,11.1,2.8,D
8,352333,54447.0,-44.0,15.0,1074.0,-285.0,-433.0,-88.0,1.9,4.4,3.2,D
9,352394,54453.0,-68.0,18.0,1025.0,-288.0,-438.0,-97.0,2.1,1.6,3.5,D
10,352453,54460.0,-49.0,18.0,997.0,-282.0,-438.0,-90.0,5.2,-0.7,2.5,D
11,352483,54466.0,-49.0,18.0,997.0,-286.0,-430.0,-97.0,1.7,0.4,2.7,D
12,352543,54472.0,-40.0,0.0,1032.0,-285.0,-430.0,-87.0,7.0,-3.6,0.5,D
13,352604,54478.0,-41.0,-1.0,1057.0,-280.0,-435.0,-84.0,4.0,-2.0,1.1,D
14,352633,54485.0,-48.0,4.0,1034.0,-291.0,-442.0,-88.0,-0.9,0.2,2.1,D
15,352783,54491.0,-68.0,2.0,1001.0,-291.0,-444.0,-91.0,-2.3,1.8,1.2,D
16,352783,54497.0,-68.0,2.0,1001.0,-291.0,-444.0,-91.0,-1.1,0.2,0.4,D
17,352810,54503.0,-70.0,13.0,1025.0,-291.0,-442.0,-94.0,3.9,-1.8,-0.4,D
18,352887,54510.0,-57.0,21.0,1030.0,-286.0,-435.0,-97.0,-0.9,-0.2,0.1,D
19,352952,54516.0,-24.0,15.0,1024.0,-288.0,-433.0,-84.0,-0.9,-2.3,2.1,D
20,352953,54522.0,-50.0,25.0,1053.0,-288.0,-433.0,-84.0,-3.9,-1.6,1.7,D
21,353019,54528.0,-29.0,0.0,1010.0,-289.0,-438.0,-88.0,-4.3,-2.8,3.3,D
22,353054,54535.0,-25.0,-15.0,975.0,-291.0,-429.0,-93.0,-4.2,-0.6,1.1,D
23,353083,54541.0,-40.0,-9.0,968.0,-289.0,-426.0,-85.0,3.9,-1.8,0.1,D
24,353143,54547.0,-55.0,9.0,1043.0,-292.0,-435.0,-93.0,3.8,0.5,0.0,D
25,353204,54553.0,-59.0,21.0,1042.0,-285.0,-436.0,-84.0,1.9,-3.0,0.9,D
26,353232,54560.0,-54.0,20.0,1028.0,-292.0,-432.0,-88.0,-2.9,-2.5,1.8,D
27,353293,54566.0,-23.0,16.0,1005.0,-291.0,-438.0,-87.0,-1.7,-1.8,1.8,D
28,353354,54572.0,-32.0,0.0,1008.0,-283.0,-435.0,-84.0,1.5,0.8,2.3,D
29,353518,54585.0,-39.0,5.0,1016.0,-286.0,-427.0,-87.0,2.5,-1.1,1.7,D
30,353518,54578.0,-39.0,5.0,1016.0,-286.0,-427.0,-87.0,2.5,0.2,2.3,D
31,353519,54591.0,-38.0,14.0,1027.0,-288.0,-435.0,-81.0,-0.2,-1.7,1.8,D
32,353594,54597.0,-41.0,11.0,1032.0,-282.0,-445.0,-88.0,-0.9,-2.1,3.4,D
33,353594,54603.0,-41.0,11.0,1032.0,-282.0,-445.0,-88.0,-2.3,-1.4,3.0,D
34,353653,54610.0,-30.0,2.0,1015.0,-288.0,-439.0,-88.0,1.6,-1.1,3.0,D
35,353683,54616.0,-38.0,0.0,1020.0,-292.0,-433.0,-81.0,0.8,1.1,2.5,D
36,353744,54622.0,-38.0,-5.0,1023.0,-286.0,-438.0,-81.0,0.0,0.2,1.6,D
37,353804,54628.0,-48.0,3.0,1012.0,-286.0,-439.0,-87.0,1.3,1.1,1.7,D
38,353833,54635.0,-47.0,11.0,1031.0,-289.0,-439.0,-93.0,1.6,-0.4,1.7,D
39,353894,54641.0,-40.0,11.0,1004.0,-288.0,-435.0,-84.0,-0.3,0.7,1.8,D
40,353954,54647.0,-39.0,11.0,1034.0,-286.0,-439.0,-84.0,1.1,0.2,2.2,D
41,353982,54653.0,-43.0,10.0,1016.0,-291.0,-433.0,-84.0,0.4,0.5,2.5,D
42,354044,54660.0,-45.0,7.0,1017.0,-289.0,-432.0,-85.0,-0.2,0.1,2.1,D
43,354103,54666.0,-35.0,12.0,1034.0,-285.0,-430.0,-84.0,0.7,-0.2,2.1,D
44,354132,54672.0,-38.0,6.0,1015.0,-291.0,-436.0,-96.0,-2.4,0.4,2.5,D
45,354193,54678.0,-37.0,5.0,1013.0,-283.0,-435.0,-90.0,0.2,0.3,1.8,D
46,354253,54685.0,-42.0,5.0,1023.0,-285.0,-438.0,-90.0,0.4,0.7,2.2,D
47,354283,54691.0,-51.0,8.0,1018.0,-282.0,-445.0,-88.0,0.1,0.9,2.1,D
48,354343,54697.0,-52.0,8.0,1031.0,-283.0,-436.0,-90.0,0.5,-0.8,1.8,D
49,354403,54703.0,-41.0,6.0,1018.0,-285.0,-435.0,-91.0,-0.9,0.4,2.1,D
50,354432,54710.0,-38.0,6.0,1036.0,-286.0,-435.0,-93.0,-0.9,-1.2,2.3,D
51,354493,54716.0,-42.0,3.0,1018.0,-288.0,-433.0,-97.0,-1.5,-1.1,2.6,D
52,354553,54722.0,-53.0,-2.0,1024.0,-289.0,-427.0,-91.0,-2.0,-2.4,2.1,D
53,354583,54728.0,-44.0,-4.0,1006.0,-286.0,-433.0,-88.0,-0.8,-2.0,2.0,D
54,354644,54735.0,-45.0,0.0,1039.0,-288.0,-442.0,-90.0,-1.6,-3.5,1.6,D
55,354705,54741.0,-40.0,1.0,1015.0,-288.0,-442.0,-90.0,0.7,-5.1,0.8,D
56,354733,54747.0,-14.0,6.0,1036.0,-282.0,-435.0,-84.0,-1.1,-3.2,1.2,D
1,625695,88622.0,65.0,-65.0,1145.0,-246.0,-463.0,-69.0,20.7,-3.7,14.4,D
2,625756,88628.0,-4.0,-85.0,1071.0,-234.0,-454.0,-75.0,22.6,7.9,12.3,D
3,625818,88635.0,90.0,-48.0,1298.0,-244.0,-459.0,-67.0,23.5,10.2,4.1,D
4,625845,88641.0,70.0,-61.0,1261.0,-240.0,-456.0,-81.0,7.0,13.3,2.4,D
5,625906,88647.0,79.0,-44.0,1216.0,-240.0,-454.0,-79.0,2.6,14.3,2.9,D
6,625966,88653.0,101.0,-40.0,1126.0,-241.0,-451.0,-73.0,-1.0,-4.5,4.2,D
7,625994,88660.0,71.0,-44.0,1015.0,-241.0,-460.0,-78.0,-5.6,0.4,3.7,D
8,626055,88666.0,59.0,-28.0,1014.0,-247.0,-460.0,-76.0,-0.4,-6.0,2.8,D
9,626116,88672.0,35.0,-41.0,1004.0,-238.0,-448.0,-79.0,3.3,-5.2,2.1,D
10,626145,88678.0,44.0,-37.0,1000.0,-244.0,-454.0,-67.0,-0.9,-0.9,1.0,D
11,626206,88685.0,69.0,-33.0,1013.0,-234.0,-453.0,-72.0,-1.4,0.2,0.0,D
12,626265,88691.0,77.0,-36.0,1031.0,-240.0,-450.0,-82.0,-2.5,-2.6,1.5,D
13,626295,88697.0,71.0,-52.0,1005.0,-240.0,-460.0,-73.0,-2.8,0.4,1.9,D
14,626356,88703.0,85.0,-51.0,996.0,-243.0,-454.0,-64.0,-3.7,-1.0,1.8,D
15,626416,88710.0,64.0,-51.0,1013.0,-243.0,-454.0,-76.0,1.5,-1.6,2.1,D
16,626445,88716.0,75.0,-45.0,1042.0,-241.0,-462.0,-72.0,-3.1,-2.8,2.5,D
17,626506,88722.0,72.0,-43.0,1001.0,-238.0,-456.0,-72.0,-3.0,-0.7,2.2,D
18,626565,88728.0,82.0,-48.0,997.0,-241.0,-459.0,-82.0,-1.6,-1.6,2.5,D
19,626594,88735.0,90.0,-52.0,1007.0,-252.0,-465.0,-76.0,-0.6,-1.4,2.5,D
20,626656,88741.0,88.0,-55.0,991.0,-237.0,-466.0,-76.0,-1.4,-0.6,3.4,D
21,626717,88747.0,73.0,-62.0,1009.0,-238.0,-460.0,-78.0,-1.2,-1.5,3.3,D
22,626745,88753.0,73.0,-67.0,995.0,-246.0,-457.0,-79.0,-3.4,0.9,3.2,D
23,626806,88760.0,77.0,-73.0,1015.0,-235.0,-459.0,-70.0,-0.2,0.0,3.0,D
24,626866,88766.0,78.0,-66.0,1005.0,-231.0,-457.0,-69.0,-4.1,1.1,1.6,D
25,626895,88772.0,75.0,-66.0,1016.0,-237.0,-463.0,-76.0,-2.5,3.1,2.4,D
26,626979,88778.0,74.0,-66.0,1010.0,-234.0,-453.0,-72.0,-0.9,-0.8,1.9,D
27,627016,88785.0,94.0,-55.0,1019.0,-232.0,-454.0,-76.0,-1.1,-1.4,2.5,D
28,627045,88791.0,78.0,-69.0,989.0,-235.0,-457.0,-73.0,-3.1,-1.6,3.9,D
29,627106,88797.0,69.0,-73.0,1002.0,-229.0,-460.0,-81.0,-0.9,-2.5,3.8,D
30,627166,88803.0,81.0,-81.0,979.0,-235.0,-460.0,-73.0,-4.8,1.8,4.0,D
31,627195,88810.0,65.0,-92.0,980.0,-228.0,-465.0,-70.0,-2.6,0.6,4.1,D
32,627256,88816.0,62.0,-89.0,1019.0,-234.0,-454.0,-72.0,-0.7,2.7,3.5,D
33,627346,88822.0,75.0,-80.0,1011.0,-228.0,-463.0,-70.0,-3.2,2.3,3.8,D
34,627347,88828.0,73.0,-84.0,1019.0,-222.0,-453.0,-82.0,-1.1,2.5,4.4,D
35,627406,88835.0,72.0,-85.0,1015.0,-220.0,-454.0,-76.0,-5.2,2.5,6.0,D
36,627467,88841.0,67.0,-90.0,1027.0,-226.0,-456.0,-78.0,1.1,-0.7,4.6,D
37,627495,88847.0,64.0,-91.0,1008.0,-228.0,-460.0,-72.0,-1.3,-1.0,3.9,D
38,627555,88853.0,59.0,-94.0,1012.0,-216.0,-457.0,-75.0,-1.6,-1.4,3.8,D
39,627617,88860.0,62.0,-99.0,991.0,-219.0,-466.0,-81.0,-2.3,0.5,2.8,D
40,627645,88866.0,45.0,-99.0,997.0,-226.0,-459.0,-79.0,-0.1,-2.5,2.2,D
41,627706,88872.0,55.0,-93.0,1019.0,-226.0,-465.0,-73.0,-1.4,0.0,2.1,D
42,627766,88878.0,73.0,-93.0,1026.0,-216.0,-465.0,-78.0,-1.2,-1.1,0.7,D
43,627794,88885.0,69.0,-102.0,1000.0,-214.0,-459.0,-69.0,-2.0,0.0,2.1,D
44,627856,88891.0,77.0,-97.0,1029.0,-219.0,-456.0,-75.0,-0.3,-2.7,2.3,D
45,628003,88903.0,74.0,-108.0,992.0,-226.0,-456.0,-81.0,-2.1,1.1,2.8,D
46,628003,88897.0,74.0,-108.0,992.0,-226.0,-456.0,-81.0,-3.1,0.2,2.5,D
47,628024,88910.0,46.0,-119.0,969.0,-226.0,-456.0,-81.0,1.0,0.4,2.1,D
48,628155,88916.0,55.0,-110.0,1003.0,-226.0,-456.0,-75.0,0.7,-0.3,1.4,D
49,628155,88922.0,55.0,-110.0,1003.0,-226.0,-456.0,-75.0,1.3,1.0,0.2,D
50,628175,88928.0,56.0,-105.0,1006.0,-226.0,-456.0,-75.0,0.4,1.2,-0.3,D
51,628216,88935.0,79.0,-102.0,1009.0,-225.0,-460.0,-69.0,2.5,-0.6,0.0,D
52,628245,88941.0,89.0,-98.0,1022.0,-226.0,-453.0,-75.0,2.2,-0.5,0.2,D
53,628305,88947.0,91.0,-92.0,1049.0,-225.0,-454.0,-75.0,1.3,-5.0,0.5,D
54,628366,88953.0,71.0,-103.0,998.0,-225.0,-456.0,-73.0,-1.1,-2.8,1.1,D
55,628394,88960.0,55.0,-107.0,995.0,-225.0,-456.0,-73.0,0.7,-1.1,0.0,D
56,628456,88966.0,61.0,-100.0,969.0,-223.0,-456.0,-63.0,2.8,-2.0,-0.7,D
1,654407,92210.0,17.0,-224.0,933.0,-225.0,-466.0,-79.0,0.2,0.8,3.7,D
2,654466,92216.0,68.0,-196.0,1015.0,-214.0,-465.0,-82.0,1.1,-1.1,3.3,D
3,654494,92222.0,68.0,-196.0,1015.0,-211.0,-453.0,-88.0,1.1,-1.1,3.3,D
4,654556,92228.0,38.0,-208.0,1000.0,-220.0,-454.0,-87.0,2.1,-2.5,3.5,D
5,654616,92235.0,70.0,-211.0,987.0,-220.0,-459.0,-84.0,-1.3,3.2,5.8,D
6,654644,92241.0,36.0,-230.0,971.0,-204.0,-454.0,-84.0,-2.8,2.5,6.8,D
7,654706,92247.0,47.0,-224.0,999.0,-201.0,-454.0,-82.0,-2.7,5.3,6.8,D
8,654767,92253.0,12.0,-241.0,998.0,-211.0,-463.0,-90.0,2.8,-2.2,4.0,D
9,654795,92260.0,26.0,-225.0,989.0,-208.0,-457.0,-78.0,-0.9,2.0,1.7,D
10,654856,92266.0,21.0,-223.0,958.0,-204.0,-451.0,-87.0,0.3,2.4,-0.4,D
